full_name,batch,stars,license,bucket,loc_est,e1_pass,python_pct,e2_pass,e3_commits,e3_pass,e4_fix_2y,e4_pass,eligible_v2,fail_reasons
public-apis/public-apis,stars>5000,433822,mit,small_strict,1156,True,96.8,True,4660,True,2,False,False,E4 (fix_commits_2y=2<5)
deepseek-ai/DeepSeek-V3,stars>5000,103455,mit,small_strict,1639,True,100.0,False,0,False,0,False,False,E2 (no pytest)
openai/whisper,stars>5000,99257,mit,small_strict,4552,True,100.0,True,168,True,2,False,False,E4 (fix_commits_2y=2<5)
sherlock-project/sherlock,stars>5000,83184,mit,small_strict,2325,True,97.3,True,2919,True,150,True,True,
swisskyrepo/PayloadsAllTheThings,stars>5000,77612,mit,small_strict,2313,False,76.2,False,0,False,0,False,False,E1 (Python 76.2%<80%)
karpathy/nanoGPT,stars>5000,57820,mit,small_strict,1476,True,100.0,False,0,False,0,False,False,E2 (no pytest)
ageitgey/face_recognition,stars>5000,56391,mit,small_strict,1001,False,79.2,False,0,False,0,False,False,E1 (Python 79.2%<80%)
xai-org/grok-1,stars>5000,51539,apache-2.0,small_strict,2208,True,100.0,False,0,False,0,False,False,E2 (no pytest)
myshell-ai/OpenVoice,stars>5000,36486,mit,small_strict,3479,True,86.5,False,0,False,0,False,False,E2 (no pytest)
mouredev/Hello-Python,stars>5000,35553,apache-2.0,small_strict,1188,True,100.0,False,0,False,0,False,False,E2 (no pytest)
xinntao/Real-ESRGAN,stars>5000,35366,bsd-3-clause,small_strict,3316,True,100.0,True,138,True,0,False,False,E4 (fix_commits_2y=0<5)
yunjey/pytorch-tutorial,stars>5000,32328,mit,small_strict,2059,True,99.4,False,0,False,0,False,False,E2 (no pytest)
cjhutto/vaderSentiment,stars:1000-5000,4987,mit,small_strict,1078,True,100.0,False,0,False,0,False,False,E2 (no pytest)
apurvsinghgautam/robin,stars:1000-5000,4983,mit,small_strict,1712,True,98.2,False,0,False,0,False,False,E2 (no pytest)
SCIR-HI/Huatuo-Llama-Med-Chinese,stars:1000-5000,4965,apache-2.0,small_extended,878,True,89.8,False,0,False,0,False,False,E2 (no pytest)
roboflow/sports,stars:1000-5000,4966,mit,small_extended,742,True,100.0,True,34,False,0,False,False,E3 (commits=34<100)
dschep/ntfy,stars:1000-5000,4961,gpl-3.0,small_strict,2392,True,86.8,True,619,True,1,False,False,E4 (fix_commits_2y=1<5)
corna/me_cleaner,stars:1000-5000,4939,gpl-3.0,small_strict,1090,True,100.0,False,0,False,0,False,False,E2 (no pytest)
qubvel/segmentation_models,stars:1000-5000,4926,mit,small_strict,3631,True,100.0,True,206,True,0,False,False,E4 (fix_commits_2y=0<5)
Bitwise-01/Instagram-,stars:1000-5000,4917,mit,small_strict,1450,True,100.0,False,0,False,0,False,False,E2 (no pytest)
jcjohnson/pytorch-examples,stars:1000-5000,4889,mit,small_extended,647,True,100.0,False,0,False,0,False,False,E2 (no pytest)
lm-sys/RouteLLM,stars:1000-5000,4870,apache-2.0,small_strict,2646,True,100.0,True,175,True,7,True,True,
pudo/dataset,stars:1000-5000,4859,mit,small_strict,2351,True,99.3,True,746,True,9,True,True,
MechanicalSoup/MechanicalSoup,stars:1000-5000,4857,mit,small_strict,3473,True,100.0,True,666,True,5,True,True,
mzucker/noteshrink,stars:1000-5000,4847,mit,small_extended,506,True,95.1,False,0,False,0,False,False,E2 (no pytest)
bitsadmin/wesng,stars:1000-5000,4844,bsd-3-clause,small_strict,1419,False,55.6,False,0,False,0,False,False,E1 (Python 55.6%<80%)
blocklistproject/Lists,stars:1000-5000,4812,unlicense,small_strict,3656,True,100.0,True,1446,True,6,True,True,
Picovoice/porcupine,stars:1000-5000,4810,apache-2.0,small_strict,1360,False,20.2,False,0,False,0,False,False,E1 (Python 20.2%<80%)
zedr/clean-code-python,stars:1000-5000,4797,mit,small_strict,1253,True,98.7,False,0,False,0,False,False,E2 (no pytest)
SpiderClub/weibospider,stars:1000-5000,4790,mit,small_strict,4808,True,98.8,True,871,True,0,False,False,E4 (fix_commits_2y=0<5)
listen1/listen1,stars:1000-5000,4788,mit,small_strict,2714,False,61.0,False,0,False,0,False,False,E1 (Python 61.0%<80%)
LazoVelko/Pokemon-Terminal,stars:1000-5000,4771,gpl-3.0,small_strict,1974,True,100.0,True,448,True,0,False,False,E4 (fix_commits_2y=0<5)
miguelgrinberg/microblog,stars:1000-5000,4768,mit,small_strict,1837,False,75.2,False,0,False,0,False,False,E1 (Python 75.2%<80%)
diafygi/acme-tiny,stars:1000-5000,4768,mit,small_strict,1295,True,100.0,True,203,True,1,False,False,E4 (fix_commits_2y=1<5)
yanshengjia/ml-road,stars:1000-5000,4763,mit,small_extended,532,True,100.0,False,0,False,0,False,False,E2 (no pytest)
charles2gan/GDA-android-reversing-Tool,stars:1000-5000,4743,apache-2.0,small_strict,1401,False,66.2,False,0,False,0,False,False,E1 (Python 66.2%<80%)
Bing-su/adetailer,stars:1000-5000,4743,agpl-3.0,small_strict,3823,True,100.0,True,695,True,51,True,True,
Qix-/better-exceptions,stars:1000-5000,4729,mit,small_extended,734,True,86.8,True,111,True,0,False,False,E4 (fix_commits_2y=0<5)
cookiecutter-flask/cookiecutter-flask,stars:1000-5000,4727,mit,small_strict,1114,False,68.7,False,0,False,0,False,False,E1 (Python 68.7%<80%)
moshstudio/TAICHI-flet,stars:1000-5000,4724,mit,small_strict,3071,True,100.0,False,0,False,0,False,False,E2 (no pytest)
nateraw/stable-diffusion-videos,stars:1000-5000,4686,apache-2.0,small_strict,3274,True,83.0,True,239,True,0,False,False,E4 (fix_commits_2y=0<5)
AgriciDaniel/claude-obsidian,stars:1000-5000,4673,mit,small_strict,1315,False,69.0,False,0,False,0,False,False,E1 (Python 69.0%<80%)
AgriciDaniel/claude-ads,stars:1000-5000,4669,mit,small_strict,2081,True,93.2,False,0,False,0,False,False,E2 (no pytest)
llm-attacks/llm-attacks,stars:1000-5000,4656,mit,small_strict,3218,False,63.7,False,0,False,0,False,False,E1 (Python 63.7%<80%)
yizhongw/self-instruct,stars:1000-5000,4598,apache-2.0,small_strict,1570,True,87.8,False,0,False,0,False,False,E2 (no pytest)
promptslab/Promptify,stars:1000-5000,4598,apache-2.0,small_strict,2394,False,48.0,False,0,False,0,False,False,E1 (Python 48.0%<80%)
PyImageSearch/imutils,stars:1000-5000,4595,mit,small_strict,1551,True,100.0,False,0,False,0,False,False,E2 (no pytest)
going-doer/Paper2Code,stars:1000-5000,4594,apache-2.0,small_strict,3027,True,95.2,False,0,False,0,False,False,E2 (no pytest)
Integuru-AI/Integuru,stars:1000-5000,4589,agpl-3.0,small_strict,1628,True,94.9,True,75,False,0,False,False,E3 (commits=75<100)
phodal/awesome-iot,stars:1000-5000,4589,mit,small_extended,573,True,100.0,False,0,False,0,False,False,E2 (no pytest)
jendrikseipp/vulture,stars:1000-5000,4590,mit,small_strict,3548,True,99.3,True,791,True,3,False,False,E4 (fix_commits_2y=3<5)
kyegomez/tree-of-thoughts,stars:1000-5000,4575,apache-2.0,small_strict,1235,True,95.5,False,0,False,0,False,False,E2 (no pytest)
