project,bug_id,bucket,change_file,buggy_commit,pre_bug_date,fix_count,e7_pass,skip_reason
cookiecutter,cookiecutter-1,medium,cookiecutter/generate.py,c15633745df6abdb24e02746b82aadb20b8cdf8c,2020-04-25 11:31:02 +0300,27,True,
cookiecutter,cookiecutter-2,medium,cookiecutter/hooks.py,d7e7b28811e474e14d1bed747115e47dcdd15ba3,2020-04-25 11:31:02 +0300,14,True,
cookiecutter,cookiecutter-3,medium,cookiecutter/prompt.py,5c282f020a8db7e5e7c4e7b51b010556ca31fb7f,2019-07-01 16:47:30 -0700,14,True,
cookiecutter,cookiecutter-4,medium,cookiecutter/exceptions.py,9568ab6ecd2d6836646006c59473c4a4ac0dee04,2015-09-21 21:57:53 -0700,3,True,
httpie,httpie-1,medium,httpie/downloads.py,001bda19450ad85c91345eea3cfa3991e1d492ba,2016-02-17 14:53:00 +0800,6,True,
httpie,httpie-2,medium,httpie/client.py,356e0436510fee70b4071fac58be81c0a0a7db59,2016-01-22 18:46:36 -0600,5,True,
httpie,httpie-3,medium,httpie/sessions.py,8c33e5e3d31d3cd6476c4d9bc963a4c529f883d2,2016-01-18 11:26:27 -0300,6,True,
httpie,httpie-4,medium,httpie/models.py,8c892edd4fe700a7ca5cc733dcb4817831d253e2,2014-05-26 15:37:11 +0200,9,True,
httpie,httpie-5,medium,httpie/cli.py,16df8848e81eefac830f407e4b985f42b52970da,2012-03-15 00:31:12 +0100,0,False,cold_start_blind_e7
PySnooper,PySnooper-1,medium,pysnooper/pycompat.py,e21a31162f4c54be693d8ca8260e42393b39abd3,2019-04-21 22:25:12 +0300,0,False,cold_start_blind_e7
PySnooper,PySnooper-2,medium,pysnooper/tracer.py,e21a31162f4c54be693d8ca8260e42393b39abd3,2019-04-21 22:25:12 +0300,1,False,cold_start_blind_e7
PySnooper,PySnooper-3,medium,pysnooper/pysnooper.py,6e3d797be3fa0a746fb5b1b7c7fea78eb926c208,,0,False,shallow_history
thefuck,thefuck-1,medium,thefuck/rules/pip_unknown_command.py,2ced7a7f33ae0bec3ffc7a43ce95330bdf6cfcb9,2019-11-07 01:10:00 +0100,0,False,cold_start_blind_e7
thefuck,thefuck-2,medium,thefuck/utils.py,40ab4eb62db57627bff10cf029d29c94704086a2,2019-02-25 23:24:16 +0100,18,True,
thefuck,thefuck-3,medium,thefuck/shells/fish.py,ac343fb1bd7dadbb9e1a9fd7e3071f5778e338a4,2018-11-29 23:57:07 +0100,3,True,
thefuck,thefuck-4,medium,thefuck/shells/fish.py,68949a592248913b52bfd50036893553153fcddb,2018-04-01 16:25:09 -0400,3,True,
thefuck,thefuck-5,medium,thefuck/rules/git_push.py,7c858fadb3458be829d3d43666ccb46c3ed5b8a0,2017-11-27 21:08:46 +0100,3,True,
thefuck,thefuck-6,medium,thefuck/rules/git_branch_exists.py,797ca1c5647c565f62e21a8e29515c8b0fbe275f,2017-11-27 21:08:46 +0100,1,False,cold_start_blind_e7
thefuck,thefuck-7,medium,thefuck/rules/php_s.py,64d6835e15a22cf8803d398cbb593f748c550e8a,2017-09-12 08:09:00 +0200,0,False,cold_start_blind_e7
thefuck,thefuck-8,medium,thefuck/rules/dnf_no_such_command.py,449cb9a00693c8b4d97d5fda8d732cf0978e117e,2017-09-03 10:10:50 +0200,0,False,cold_start_blind_e7
thefuck,thefuck-9,medium,thefuck/rules/git_push.py,ce6b82c92d78ae283cb3db001766b76f6647bc47,2016-08-23 13:03:49 +0300,0,False,cold_start_blind_e7
thefuck,thefuck-10,medium,thefuck/rules/man.py,8bd6c5da67e55c64257345efa4e3cc454c42475c,2016-08-23 13:03:49 +0300,0,False,cold_start_blind_e7
thefuck,thefuck-11,medium,thefuck/rules/git_push.py,92f3c8fb52b32b79005b4864c31a5c2d8c45f4b1,2016-08-23 13:03:49 +0300,0,False,cold_start_blind_e7
